|avg_prob_neg|avg_prob_neu|avg_prob_pos|pred_class|first_chunk_class
0|0.6138758|0.06040569|0.3257185|0|2
1|0.45830932|0.13816069|0.40353|0|2
2|0.4930304|0.08736505|0.41960457|0|2
3|0.75356394|0.027896272|0.21853979|0|0
4|0.66926646|0.057125937|0.27360764|0|2
5|0.27872732|0.02154405|0.6997286|2|2
6|0.51594424|0.09827778|0.38577798|0|2
7|0.28811964|0.088295974|0.62358433|2|2
8|0.56295115|0.032780252|0.40426865|0|2
9|0.36754337|0.07758767|0.55486894|2|1
10|0.3520323932170868|0.0298592746257781|0.618108332157135|2|2
11|0.560643196105957|0.0244915205985307|0.4148652851581573|0|0
12|0.3700853586196899|0.0608435347676277|0.5690711140632629|2|2
13|0.4140482246875763|0.0536451376974582|0.5323066711425781|2|2
14|0.4987846612930298|0.0274428371340036|0.4737724959850311|0|2
15|0.4737791717052459|0.0512178316712379|0.475003033876419|2|0
16|0.4012142717838287|0.035680454224348|0.5631052851676941|2|0
17|0.6112954616546631|0.1043168604373931|0.2843876481056213|0|2
18|0.3087853789329529|0.0442727655172348|0.6469418406486511|2|2
19|0.4414718747138977|0.0774381607770919|0.4810900092124939|2|2
20|0.4487504363059997|0.0687316805124282|0.4825178980827331|2|2
21|0.5140777230262756|0.0266538150608539|0.4592684507369995|0|2
22|0.5601444244384766|0.0279841646552085|0.4118714034557342|0|0
23|0.5663677453994751|0.0286519881337881|0.4049802720546722|0|2
24|0.4582032263278961|0.0290345102548599|0.5127623081207275|2|2
25|0.338370680809021|0.1562199294567108|0.5054094195365906|2|2
26|0.8290363550186157|0.041725318878889|0.1292382776737213|0|0
27|0.2932596802711487|0.2860698699951172|0.4206704795360565|2|2
28|0.5501519441604614|0.0295006167143583|0.4203475415706634|0|2
29|0.7701430320739746|0.0175478234887123|0.2123091518878936|0|0
30|0.5793512463569641|0.0288981050252914|0.3917506337165832|0|2
31|0.6330413222312927|0.0296754445880651|0.3372832834720611|0|0
32|0.5099393129348755|0.0330391265451908|0.4570215344429016|0|2
33|0.4859288334846496|0.0572666823863983|0.4568045139312744|0|2
34|0.4152306914329529|0.0905969515442848|0.4941723346710205|2|2
35|0.437698096036911|0.0962068513035774|0.4660950303077698|2|2
36|0.4836126267910003|0.1528681069612503|0.3635193109512329|0|0
37|0.3065097033977508|0.0558929629623889|0.637597382068634|2|2
38|0.4652915000915527|0.0395109094679355|0.4951975643634796|2|2
39|0.4321452379226684|0.0291400030255317|0.5387147068977356|2|2
40|0.113591581583023|0.0115071712061762|0.8749012351036072|2|2
41|0.5057101845741272|0.0418272092938423|0.4524625539779663|0|2
42|0.3881904780864715|0.0278614535927772|0.5839481353759766|2|2
43|0.7109310030937195|0.0202053692191839|0.268863707780838|0|0
44|0.5460609197616577|0.0427705757319927|0.4111685156822204|0|2
45|0.4821919798851013|0.0257589239627122|0.4920491576194763|2|2
46|0.4855449199676513|0.199756383895874|0.3146987557411194|0|2
47|0.6177909970283508|0.0459199137985706|0.33628910779953|0|2
48|0.4293062686920166|0.0782677456736564|0.4924259781837463|2|2
49|0.5507273077964783|0.0370168015360832|0.4122558534145355|0|0
50|0.7135592699050903|0.0305023156106472|0.2559384703636169|0|2
51|0.602825403213501|0.029779402539134|0.3673951923847198|0|2
52|0.5343853831291199|0.077000617980957|0.3886139988899231|0|2
53|0.4122006595134735|0.0380091853439807|0.5497902035713196|2|2
54|0.2699857354164123|0.0254721995443105|0.7045419812202454|2|2
55|0.5496346950531006|0.1634131968021392|0.2869520783424377|0|2
56|0.5509747266769409|0.0501434504985809|0.3988817930221557|0|2
57|0.4628965556621551|0.0244860313832759|0.5126173496246338|2|2
58|0.5761200785636902|0.0902052521705627|0.3336746394634247|0|2
59|0.3362145721912384|0.1102832779288292|0.553502082824707|2|2
60|0.4769605696201324|0.0363567918539047|0.486682653427124|2|0
61|0.4353984892368316|0.0276176836341619|0.536983847618103|2|2
62|0.4641286134719848|0.0484648272395134|0.4874065220355987|2|2
63|0.5458015203475952|0.0454893596470356|0.4087091088294983|0|2
64|0.3401132225990295|0.1409814655780792|0.5189053416252136|2|2
65|0.2619632184505462|0.0293310713022947|0.708705723285675|2|2
66|0.5666040778160095|0.0410244241356849|0.3923715054988861|0|2
67|0.7278100252151489|0.0410476960241794|0.2311422377824783|0|0
68|0.4098701179027557|0.0227184668183326|0.5674114227294922|2|2
69|0.502135694026947|0.0217394400388002|0.4761248230934143|0|2
70|0.4889033436775207|0.0215833131223917|0.4895133078098297|2|2
71|0.5533832907676697|0.0372775197029113|0.4093391299247741|0|2
72|0.6818044185638428|0.0295988991856575|0.2885966598987579|0|0
73|0.3295024931430816|0.0333423763513565|0.6371551752090454|2|2
74|0.581976056098938|0.1446209996938705|0.2734029591083526|0|2
75|0.6545819640159607|0.049833808094263|0.2955842912197113|0|2
76|0.5849396586418152|0.1372889280319214|0.2777714133262634|0|2
77|0.5337196588516235|0.0206586215645074|0.4456216990947723|0|2
78|0.5067738890647888|0.0207546334713697|0.4724715054035187|0|2
79|0.5015305280685425|0.0598728135228157|0.4385966658592224|0|0
80|0.3637238442897796|0.0483348965644836|0.5879412889480591|2|2
81|0.6472877264022827|0.0383525379002094|0.3143597245216369|0|0
82|0.6927828788757324|0.0286944061517715|0.2785227298736572|0|2
83|0.4121740460395813|0.0297387093305587|0.5580872297286987|2|2
84|0.731116533279419|0.0249870773404836|0.2438963502645492|0|2
85|0.6091063022613525|0.0413365066051483|0.3495572209358215|0|0
86|0.5981324315071106|0.0325594916939735|0.3693080842494964|0|2
87|0.3771510422229767|0.0985534563660621|0.524295449256897|2|2
88|0.3732264637947082|0.0891171172261238|0.5376564264297485|2|2
89|0.5886934995651245|0.0475611314177513|0.3637453317642212|0|2
90|0.6007050275802612|0.0780799314379692|0.3212150037288666|0|2
91|0.5046188235282898|0.0242379326373338|0.4711432158946991|0|2
92|0.7303407788276672|0.0199948195368051|0.2496644407510757|0|0
93|0.4846368730068207|0.034003410488367|0.4813597202301025|0|2
94|0.4846178889274597|0.027369450777769|0.4880126416683197|2|2
95|0.3515926599502563|0.0367019139230251|0.6117054224014282|2|2
96|0.311098575592041|0.0567490272223949|0.6321523785591125|2|2
97|0.426610916852951|0.0226070396602153|0.5507820844650269|2|2
98|0.5184153914451599|0.0227409265935421|0.4588437080383301|0|2
99|0.5399105548858643|0.0669407844543457|0.39314866065979|0|2
100|0.7680915594100952|0.0617649890482425|0.1701435297727584|0|0
101|0.6354237198829651|0.0495617799460887|0.3150144517421722|0|2
102|0.595602810382843|0.062279749661684|0.3421174585819244|0|0
103|0.4329704940319061|0.0416135340929031|0.5254159569740295|2|2
104|0.490581750869751|0.044160172343254|0.4652580320835113|0|2
105|0.5465174913406372|0.0390255711972713|0.4144568741321563|0|0
106|0.2074479013681411|0.034468624740839|0.7580834627151489|2|2
107|0.5584088563919067|0.0571269989013671|0.3844641149044037|0|2
108|0.502566397190094|0.0732275322079658|0.4242061078548431|0|2
109|0.6946894526481628|0.036183837801218|0.2691267728805542|0|0
110|0.5691542029380798|0.0456390045583248|0.3852067589759826|0|0
111|0.509782075881958|0.0233902279287576|0.4668277204036712|0|2
112|0.4761580526828766|0.035393189638853|0.4884487986564636|2|2
113|0.5533451437950134|0.0251913182437419|0.4214635193347931|0|2
114|0.3253583014011383|0.0615544356405735|0.6130872368812561|2|2
115|0.4831858873367309|0.06448645144701|0.4523276686668396|0|2
116|0.3564794361591339|0.032443068921566|0.6110775470733643|2|2
117|0.3662251830101013|0.0260930694639682|0.6076816916465759|2|2
118|0.5310434103012085|0.0369714759290218|0.4319851100444793|0|2
119|0.6065194010734558|0.09037746489048|0.3031031489372253|0|2
120|0.4027997553348541|0.0510619729757308|0.5461382269859314|2|2
121|0.5305660367012024|0.033002596348524|0.4364314079284668|0|2
122|0.6573013067245483|0.0172315500676631|0.3254671096801758|0|0
123|0.3547276854515075|0.0280003808438777|0.617271900177002|2|2
124|0.5784420371055603|0.0357654392719268|0.3857924938201904|0|0
125|0.4770372211933136|0.0686919689178466|0.4542708396911621|0|0
126|0.483559250831604|0.0746254324913024|0.4418152570724487|0|2
